"SEX","GEO","TIME","AGE","ISCED11","UNIT","Value","Flag and Footnotes"
"Males","Sweden","2010","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","81.2",""
"Males","Sweden","2010","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","87.2",""
"Males","Sweden","2010","From 15 to 64 years","No response","Percentage","36.4",""
"Males","Sweden","2011","From 15 to 64 years","All ISCED 2011 levels ","Percentage","75.8",""
"Males","Sweden","2011","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","50.8",""
"Males","Sweden","2011","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","82.5",""
"Males","Sweden","2011","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","87.8",""
"Males","Sweden","2011","From 15 to 64 years","No response","Percentage","38.4",""
"Males","Sweden","2012","From 15 to 64 years","All ISCED 2011 levels ","Percentage","75.6",""
"Males","Sweden","2012","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","49.8",""
"Males","Sweden","2012","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","82.4",""
"Males","Sweden","2012","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","87.7",""
"Males","Sweden","2012","From 15 to 64 years","No response","Percentage","37.5",""
"Males","Sweden","2013","From 15 to 64 years","All ISCED 2011 levels ","Percentage","76.3",""
"Males","Sweden","2013","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","49.5",""
"Males","Sweden","2013","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","82.9",""
"Males","Sweden","2013","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","88.3",""
"Males","Sweden","2013","From 15 to 64 years","No response","Percentage","37.1",""
"Males","Sweden","2014","From 15 to 64 years","All ISCED 2011 levels ","Percentage","76.5",""
"Males","Sweden","2014","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","49.9","b"
"Males","Sweden","2014","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","82.6","b"
"Males","Sweden","2014","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","88.4","b"
"Males","Sweden","2014","From 15 to 64 years","No response","Percentage","47.6","b"
"Males","Sweden","2015","From 15 to 64 years","All ISCED 2011 levels ","Percentage","77.0",""
"Males","Sweden","2015","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","50.2",""
"Males","Sweden","2015","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","83.1",""
"Males","Sweden","2015","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","88.4",""
"Males","Sweden","2015","From 15 to 64 years","No response","Percentage","59.3",""
"Males","United Kingdom","2004","From 15 to 64 years","All ISCED 2011 levels ","Percentage","77.7",""
"Males","United Kingdom","2004","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","66.7","b"
"Males","United Kingdom","2004","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","81.0","b"
"Males","United Kingdom","2004","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","89.0","b"
"Males","United Kingdom","2004","From 15 to 64 years","No response","Percentage","19.1","b"
"Males","United Kingdom","2005","From 15 to 64 years","All ISCED 2011 levels ","Percentage","77.8",""
"Males","United Kingdom","2005","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","67.0","b"
"Males","United Kingdom","2005","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","81.0","b"
"Males","United Kingdom","2005","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","88.9","b"
"Males","United Kingdom","2005","From 15 to 64 years","No response","Percentage","21.1","b"
"Males","United Kingdom","2006","From 15 to 64 years","All ISCED 2011 levels ","Percentage","77.6",""
"Males","United Kingdom","2006","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","65.8",""
"Males","United Kingdom","2006","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","80.6",""
"Males","United Kingdom","2006","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","89.1",""
"Males","United Kingdom","2006","From 15 to 64 years","No response","Percentage","22.5",""
"Males","United Kingdom","2007","From 15 to 64 years","All ISCED 2011 levels ","Percentage","77.6",""
"Males","United Kingdom","2007","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","65.7","b"
"Males","United Kingdom","2007","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","80.7","b"
"Males","United Kingdom","2007","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","88.9","b"
"Males","United Kingdom","2007","From 15 to 64 years","No response","Percentage","23.8","b"
"Males","United Kingdom","2008","From 15 to 64 years","All ISCED 2011 levels ","Percentage","77.4",""
"Males","United Kingdom","2008","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","65.6","b"
"Males","United Kingdom","2008","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","80.0","b"
"Males","United Kingdom","2008","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","88.7","b"
"Males","United Kingdom","2008","From 15 to 64 years","No response","Percentage","22.4","b"
"Males","United Kingdom","2009","From 15 to 64 years","All ISCED 2011 levels ","Percentage","74.9",""
"Males","United Kingdom","2009","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","62.3",""
"Males","United Kingdom","2009","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","76.7",""
"Males","United Kingdom","2009","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","87.3",""
"Males","United Kingdom","2009","From 15 to 64 years","No response","Percentage","25.8",""
"Males","United Kingdom","2010","From 15 to 64 years","All ISCED 2011 levels ","Percentage","74.4",""
"Males","United Kingdom","2010","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","60.5","b"
"Males","United Kingdom","2010","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","75.7","b"
"Males","United Kingdom","2010","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","87.2","b"
"Males","United Kingdom","2010","From 15 to 64 years","No response","Percentage","27.3","b"
"Males","United Kingdom","2011","From 15 to 64 years","All ISCED 2011 levels ","Percentage","74.3",""
"Males","United Kingdom","2011","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","60.9","b"
"Males","United Kingdom","2011","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","75.5","b"
"Males","United Kingdom","2011","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","86.3","b"
"Males","United Kingdom","2011","From 15 to 64 years","No response","Percentage","32.0","b"
"Males","United Kingdom","2012","From 15 to 64 years","All ISCED 2011 levels ","Percentage","75.0",""
"Males","United Kingdom","2012","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","61.4",""
"Males","United Kingdom","2012","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","75.7",""
"Males","United Kingdom","2012","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","87.2",""
"Males","United Kingdom","2012","From 15 to 64 years","No response","Percentage","30.0",""
"Males","United Kingdom","2013","From 15 to 64 years","All ISCED 2011 levels ","Percentage","75.4",""
"Males","United Kingdom","2013","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","61.9",""
"Males","United Kingdom","2013","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","75.8",""
"Males","United Kingdom","2013","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","87.4",""
"Males","United Kingdom","2013","From 15 to 64 years","No response","Percentage","33.2",""
"Males","United Kingdom","2014","From 15 to 64 years","All ISCED 2011 levels ","Percentage","76.8",""
"Males","United Kingdom","2014","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","63.5","b"
"Males","United Kingdom","2014","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","77.3","b"
"Males","United Kingdom","2014","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","88.0","b"
"Males","United Kingdom","2014","From 15 to 64 years","No response","Percentage","34.3","b"
"Males","United Kingdom","2015","From 15 to 64 years","All ISCED 2011 levels ","Percentage","77.6",""
"Males","United Kingdom","2015","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","64.3",""
"Males","United Kingdom","2015","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","78.1",""
"Males","United Kingdom","2015","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","88.4",""
"Males","United Kingdom","2015","From 15 to 64 years","No response","Percentage","37.5",""
"Males","Iceland","2004","From 15 to 64 years","All ISCED 2011 levels ","Percentage","86.4",""
"Males","Iceland","2004","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","82.8",""
"Males","Iceland","2004","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","88.1",""
"Males","Iceland","2004","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","94.5",""
"Males","Iceland","2004","From 15 to 64 years","No response","Percentage",":","u"
"Males","Iceland","2005","From 15 to 64 years","All ISCED 2011 levels ","Percentage","86.9",""
"Males","Iceland","2005","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","81.7","b"
"Males","Iceland","2005","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","89.5","b"
"Males","Iceland","2005","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","94.7","b"
"Males","Iceland","2005","From 15 to 64 years","No response","Percentage","74.9","b"
"Males","Iceland","2006","From 15 to 64 years","All ISCED 2011 levels ","Percentage","88.1",""
"Males","Iceland","2006","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","83.1",""
"Males","Iceland","2006","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","90.0",""
"Males","Iceland","2006","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","95.7",""
"Males","Iceland","2006","From 15 to 64 years","No response","Percentage","87.6",""
"Males","Iceland","2007","From 15 to 64 years","All ISCED 2011 levels ","Percentage","89.1",""
"Males","Iceland","2007","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","84.7",""
"Males","Iceland","2007","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","91.2",""
"Males","Iceland","2007","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","95.3",""
"Males","Iceland","2007","From 15 to 64 years","No response","Percentage",":","u"
"Males","Iceland","2008","From 15 to 64 years","All ISCED 2011 levels ","Percentage","87.3",""
"Males","Iceland","2008","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","82.3",""
"Males","Iceland","2008","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","89.1",""
"Males","Iceland","2008","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","94.6",""
"Males","Iceland","2008","From 15 to 64 years","No response","Percentage",":","u"
"Males","Iceland","2009","From 15 to 64 years","All ISCED 2011 levels ","Percentage","80.0",""
"Males","Iceland","2009","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","71.9",""
"Males","Iceland","2009","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","83.3",""
"Males","Iceland","2009","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","89.7",""
"Males","Iceland","2009","From 15 to 64 years","No response","Percentage",":","u"
"Males","Iceland","2010","From 15 to 64 years","All ISCED 2011 levels ","Percentage","80.1",""
"Males","Iceland","2010","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","72.9",""
"Males","Iceland","2010","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","82.0",""
"Males","Iceland","2010","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","91.1",""
"Males","Iceland","2010","From 15 to 64 years","No response","Percentage",":","u"
"Males","Iceland","2011","From 15 to 64 years","All ISCED 2011 levels ","Percentage","80.3",""
"Males","Iceland","2011","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","70.7",""
"Males","Iceland","2011","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","83.4",""
"Males","Iceland","2011","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","90.1",""
"Males","Iceland","2011","From 15 to 64 years","No response","Percentage",":","u"
"Males","Iceland","2012","From 15 to 64 years","All ISCED 2011 levels ","Percentage","81.5",""
"Males","Iceland","2012","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","70.6",""
"Males","Iceland","2012","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","85.5",""
"Males","Iceland","2012","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","91.9",""
"Males","Iceland","2012","From 15 to 64 years","No response","Percentage",":","u"
"Males","Iceland","2013","From 15 to 64 years","All ISCED 2011 levels ","Percentage","83.2",""
"Males","Iceland","2013","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","73.5",""
"Males","Iceland","2013","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","85.7",""
"Males","Iceland","2013","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","93.8",""
"Males","Iceland","2013","From 15 to 64 years","No response","Percentage",":","u"
"Males","Iceland","2014","From 15 to 64 years","All ISCED 2011 levels ","Percentage","85.4",""
"Males","Iceland","2014","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","76.2","b"
"Males","Iceland","2014","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","87.9","b"
"Males","Iceland","2014","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","93.6","b"
"Males","Iceland","2014","From 15 to 64 years","No response","Percentage",":","bu"
"Males","Iceland","2015","From 15 to 64 years","All ISCED 2011 levels ","Percentage","87.1",""
"Males","Iceland","2015","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","79.1",""
"Males","Iceland","2015","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","89.3",""
"Males","Iceland","2015","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","94.2",""
"Males","Iceland","2015","From 15 to 64 years","No response","Percentage",":","u"
"Males","Norway","2004","From 15 to 64 years","All ISCED 2011 levels ","Percentage","78.0",""
"Males","Norway","2004","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","54.1",""
"Males","Norway","2004","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","80.1",""
"Males","Norway","2004","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","89.2",""
"Males","Norway","2004","From 15 to 64 years","No response","Percentage",":","c"
"Males","Norway","2005","From 15 to 64 years","All ISCED 2011 levels ","Percentage","77.8",""
"Males","Norway","2005","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","49.7","b"
"Males","Norway","2005","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","80.9","b"
"Males","Norway","2005","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","89.1","b"
"Males","Norway","2005","From 15 to 64 years","No response","Percentage",":","bc"
"Males","Norway","2006","From 15 to 64 years","All ISCED 2011 levels ","Percentage","78.4",""
"Males","Norway","2006","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","58.6","b"
"Males","Norway","2006","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","84.5","b"
"Males","Norway","2006","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","90.7","b"
"Males","Norway","2006","From 15 to 64 years","No response","Percentage",":",""
"Males","Norway","2007","From 15 to 64 years","All ISCED 2011 levels ","Percentage","79.5",""
"Males","Norway","2007","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","60.8",""
"Males","Norway","2007","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","84.6",""
"Males","Norway","2007","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","91.9",""
"Males","Norway","2007","From 15 to 64 years","No response","Percentage",":",""
"Males","Norway","2008","From 15 to 64 years","All ISCED 2011 levels ","Percentage","80.5",""
"Males","Norway","2008","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","63.7",""
"Males","Norway","2008","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","85.3",""
"Males","Norway","2008","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","92.2",""
"Males","Norway","2008","From 15 to 64 years","No response","Percentage","20.9",""
"Males","Norway","2009","From 15 to 64 years","All ISCED 2011 levels ","Percentage","78.3",""
"Males","Norway","2009","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","61.5",""
"Males","Norway","2009","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","83.3",""
"Males","Norway","2009","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","91.6",""
"Males","Norway","2009","From 15 to 64 years","No response","Percentage","16.2",""
"Males","Norway","2010","From 15 to 64 years","All ISCED 2011 levels ","Percentage","77.3",""
"Males","Norway","2010","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","60.1",""
"Males","Norway","2010","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","81.9",""
"Males","Norway","2010","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","91.0",""
"Males","Norway","2010","From 15 to 64 years","No response","Percentage","16.7",""
"Males","Norway","2011","From 15 to 64 years","All ISCED 2011 levels ","Percentage","77.1",""
"Males","Norway","2011","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","60.2",""
"Males","Norway","2011","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","82.0",""
"Males","Norway","2011","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","90.8",""
"Males","Norway","2011","From 15 to 64 years","No response","Percentage","13.2",""
"Males","Norway","2012","From 15 to 64 years","All ISCED 2011 levels ","Percentage","77.6",""
"Males","Norway","2012","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","60.0",""
"Males","Norway","2012","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","82.5",""
"Males","Norway","2012","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","90.5",""
"Males","Norway","2012","From 15 to 64 years","No response","Percentage","20.4",""
"Males","Norway","2013","From 15 to 64 years","All ISCED 2011 levels ","Percentage","77.3",""
"Males","Norway","2013","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","58.0",""
"Males","Norway","2013","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","82.8",""
"Males","Norway","2013","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","90.3",""
"Males","Norway","2013","From 15 to 64 years","No response","Percentage","22.9",""
"Males","Norway","2014","From 15 to 64 years","All ISCED 2011 levels ","Percentage","77.0",""
"Males","Norway","2014","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","52.8","b"
"Males","Norway","2014","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","81.8","b"
"Males","Norway","2014","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","89.9","b"
"Males","Norway","2014","From 15 to 64 years","No response","Percentage","42.4","b"
"Males","Norway","2015","From 15 to 64 years","All ISCED 2011 levels ","Percentage","76.5",""
"Males","Norway","2015","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","52.5",""
"Males","Norway","2015","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","80.9",""
"Males","Norway","2015","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","89.4",""
"Males","Norway","2015","From 15 to 64 years","No response","Percentage",":","u"
"Males","Switzerland","2004","From 15 to 64 years","All ISCED 2011 levels ","Percentage","84.4",""
"Males","Switzerland","2004","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","68.1",""
"Males","Switzerland","2004","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","85.8",""
"Males","Switzerland","2004","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","93.2",""
"Males","Switzerland","2004","From 15 to 64 years","No response","Percentage",":","u"
"Males","Switzerland","2005","From 15 to 64 years","All ISCED 2011 levels ","Percentage","83.9",""
"Males","Switzerland","2005","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","66.8","b"
"Males","Switzerland","2005","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","85.3","b"
"Males","Switzerland","2005","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","93.1","b"
"Males","Switzerland","2005","From 15 to 64 years","No response","Percentage",":","bu"
"Males","Switzerland","2006","From 15 to 64 years","All ISCED 2011 levels ","Percentage","84.7",""
"Males","Switzerland","2006","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","66.0",""
"Males","Switzerland","2006","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","86.2",""
"Males","Switzerland","2006","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","93.3",""
"Males","Switzerland","2006","From 15 to 64 years","No response","Percentage",":","u"
"Males","Switzerland","2007","From 15 to 64 years","All ISCED 2011 levels ","Percentage","85.6",""
"Males","Switzerland","2007","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","67.4",""
"Males","Switzerland","2007","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","87.3",""
"Males","Switzerland","2007","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","93.3",""
"Males","Switzerland","2007","From 15 to 64 years","No response","Percentage",":","u"
"Males","Switzerland","2008","From 15 to 64 years","All ISCED 2011 levels ","Percentage","85.4",""
"Males","Switzerland","2008","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","67.5",""
"Males","Switzerland","2008","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","86.3",""
"Males","Switzerland","2008","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","93.3",""
"Males","Switzerland","2008","From 15 to 64 years","No response","Percentage","83.0","u"
"Males","Switzerland","2009","From 15 to 64 years","All ISCED 2011 levels ","Percentage","84.4",""
"Males","Switzerland","2009","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","65.9",""
"Males","Switzerland","2009","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","85.2",""
"Males","Switzerland","2009","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","92.6",""
"Males","Switzerland","2009","From 15 to 64 years","No response","Percentage",":","u"
"Males","Switzerland","2010","From 15 to 64 years","All ISCED 2011 levels ","Percentage","84.6",""
"Males","Switzerland","2010","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","68.0",""
"Males","Switzerland","2010","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","85.3",""
"Males","Switzerland","2010","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","92.5",""
"Males","Switzerland","2010","From 15 to 64 years","No response","Percentage","76.4",""
"Males","Switzerland","2011","From 15 to 64 years","All ISCED 2011 levels ","Percentage","85.4",""
"Males","Switzerland","2011","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","68.8",""
"Males","Switzerland","2011","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","86.1",""
"Males","Switzerland","2011","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","93.2",""
"Males","Switzerland","2011","From 15 to 64 years","No response","Percentage","78.8",""
"Males","Switzerland","2012","From 15 to 64 years","All ISCED 2011 levels ","Percentage","85.2",""
"Males","Switzerland","2012","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","68.2",""
"Males","Switzerland","2012","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","85.5",""
"Males","Switzerland","2012","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","93.1",""
"Males","Switzerland","2012","From 15 to 64 years","No response","Percentage","82.9",""
"Males","Switzerland","2013","From 15 to 64 years","All ISCED 2011 levels ","Percentage","84.6",""
"Males","Switzerland","2013","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","67.7",""
"Males","Switzerland","2013","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","84.6",""
"Males","Switzerland","2013","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","92.4",""
"Males","Switzerland","2013","From 15 to 64 years","No response","Percentage","81.7","u"
"Males","Switzerland","2014","From 15 to 64 years","All ISCED 2011 levels ","Percentage","84.4",""
"Males","Switzerland","2014","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","68.0","b"
"Males","Switzerland","2014","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","84.3","b"
"Males","Switzerland","2014","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","91.8","b"
"Males","Switzerland","2014","From 15 to 64 years","No response","Percentage","78.2","bu"
"Males","Switzerland","2015","From 15 to 64 years","All ISCED 2011 levels ","Percentage","84.4",""
"Males","Switzerland","2015","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","66.3",""
"Males","Switzerland","2015","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","84.5",""
"Males","Switzerland","2015","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","92.1",""
"Males","Switzerland","2015","From 15 to 64 years","No response","Percentage","68.3","u"
"Males","Former Yugoslav Republic of Macedonia, the","2004","From 15 to 64 years","All ISCED 2011 levels ","Percentage",":",""
"Males","Former Yugoslav Republic of Macedonia, the","2004","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage",":",""
"Males","Former Yugoslav Republic of Macedonia, the","2004","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage",":",""
"Males","Former Yugoslav Republic of Macedonia, the","2004","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage",":",""
"Males","Former Yugoslav Republic of Macedonia, the","2004","From 15 to 64 years","No response","Percentage",":",""
"Males","Former Yugoslav Republic of Macedonia, the","2005","From 15 to 64 years","All ISCED 2011 levels ","Percentage",":",""
