SEX,GEO,AGE,N_CHILD,AGECHILD,ISCED11,TIME,Value,FlagandFootnotes
Males,Netherlands,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2013,91.2,b
Males,Netherlands,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2014,91.9,b
Males,Netherlands,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2015,91.7,
Males,Netherlands,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2013,88.1,b
Males,Netherlands,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2014,89.4,b
Males,Netherlands,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2015,89,
Males,Netherlands,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2013,76.5,b
Males,Netherlands,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2014,75.5,b
Males,Netherlands,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2015,77.1,
Males,Netherlands,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2013,:,
Males,Netherlands,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Males,Netherlands,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2015,:,
Males,Netherlands,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Males,Netherlands,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Males,Netherlands,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Males,Netherlands,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2013,:,
Males,Netherlands,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2014,:,
Males,Netherlands,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2015,:,
Males,Netherlands,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2013,87.5,b
Males,Netherlands,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2014,89.3,b
Males,Netherlands,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2015,88.9,
Males,Netherlands,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2013,91.1,b
Males,Netherlands,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2014,92.1,b
Males,Netherlands,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2015,93.5,
Males,Netherlands,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2013,88.9,b
Males,Netherlands,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2014,91.1,b
Males,Netherlands,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2015,88.4,
Males,Netherlands,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2013,84.9,b
Males,Netherlands,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2014,87.1,b
Males,Netherlands,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2015,86.2,
Males,Netherlands,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2013,92.3,b
Males,Netherlands,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2014,92.9,b
Males,Netherlands,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2015,93.5,
Males,Netherlands,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2013,92.8,b
Males,Netherlands,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2014,93.8,b
Males,Netherlands,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2015,94.8,
Males,Netherlands,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2013,92.2,b
Males,Netherlands,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2014,92.7,b
Males,Netherlands,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2015,93.5,
Males,Netherlands,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2013,91.9,b
Males,Netherlands,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2014,92.1,b
Males,Netherlands,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2015,92.3,
Males,Netherlands,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2013,90.3,b
Males,Netherlands,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2014,91.1,b
Males,Netherlands,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2015,89.2,
Males,Netherlands,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2013,89.7,b
Males,Netherlands,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2014,90.6,b
Males,Netherlands,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2015,86.9,
Males,Netherlands,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2013,90.7,b
Males,Netherlands,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2014,90.9,b
Males,Netherlands,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2015,90.4,
Males,Netherlands,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2013,90.9,b
Males,Netherlands,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2014,92.8,b
Males,Netherlands,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2015,92.3,
Males,Austria,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2013,80.3,
Males,Austria,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2014,79.7,b
Males,Austria,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2015,79.7,
Males,Austria,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2013,90.8,
Males,Austria,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2014,89.9,b
Males,Austria,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2015,88.7,
Males,Austria,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2013,90.4,
Males,Austria,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2014,90.4,b
Males,Austria,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2015,89.5,
Males,Austria,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2013,88.5,
Males,Austria,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2014,88.5,b
Males,Austria,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2015,88.6,
Males,Austria,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2013,74.8,
Males,Austria,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2014,73.9,b
Males,Austria,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2015,74.3,
Males,Austria,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2013,:,
Males,Austria,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Males,Austria,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2015,:,
Males,Austria,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Males,Austria,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Males,Austria,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Males,Austria,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2013,:,
Males,Austria,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2014,:,
Males,Austria,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2015,:,
Males,Austria,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2013,88.9,
Males,Austria,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2014,88.4,b
Males,Austria,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2015,87.9,
Males,Austria,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2013,91.3,
Males,Austria,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2014,90.3,b
Males,Austria,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2015,89.3,
Males,Austria,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2013,88.9,
Males,Austria,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2014,89.5,b
Males,Austria,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2015,87.2,
Males,Austria,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2013,87.5,
Males,Austria,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2014,86.7,b
Males,Austria,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2015,87.3,
Males,Austria,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2013,91.7,
Males,Austria,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2014,91.6,b
Males,Austria,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2015,91.1,
Males,Austria,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2013,91.6,
Males,Austria,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2014,90.8,b
Males,Austria,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2015,90.8,
Males,Austria,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2013,92.4,
Males,Austria,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2014,92,b
Males,Austria,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2015,91.6,
Males,Austria,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2013,91.2,
Males,Austria,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2014,92.4,b
Males,Austria,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2015,91,
Males,Austria,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2013,88.2,
Males,Austria,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2014,88,b
Males,Austria,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2015,86,
Males,Austria,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2013,88.2,
Males,Austria,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2014,87.3,b
Males,Austria,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2015,83.3,
Males,Austria,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2013,88.3,
Males,Austria,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2014,88.1,b
Males,Austria,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2015,88.3,
Males,Austria,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2013,88.3,
Males,Austria,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2014,91.2,b
Males,Austria,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2015,95.2,
Males,Poland,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2013,74,
Males,Poland,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2014,75.5,b
Males,Poland,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2015,76.7,
Males,Poland,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2013,86.3,
Males,Poland,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2014,88,b
Males,Poland,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2015,89.5,
Males,Poland,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2013,84.5,
Males,Poland,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2014,86.2,b
Males,Poland,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2015,87,
Males,Poland,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2013,79.4,
Males,Poland,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2014,80.4,b
Males,Poland,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2015,82.2,
Males,Poland,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2013,64.6,
Males,Poland,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2014,66.3,b
Males,Poland,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2015,67.3,
Males,Poland,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2013,:,
Males,Poland,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Males,Poland,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2015,:,
Males,Poland,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Males,Poland,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Males,Poland,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Males,Poland,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2013,:,
Males,Poland,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2014,:,
Males,Poland,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2015,:,
Males,Poland,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2013,81.2,
Males,Poland,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2014,83,b
Males,Poland,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2015,84.2,
Males,Poland,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2013,86.8,
Males,Poland,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2014,88.1,b
Males,Poland,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2015,89.5,
Males,Poland,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2013,82.8,
Males,Poland,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2014,85.2,b
Males,Poland,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2015,84.9,
Males,Poland,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2013,77.2,
Males,Poland,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2014,78.9,b
Males,Poland,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2015,80.3,
Males,Poland,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2013,86.3,
Males,Poland,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2014,87.4,b
Males,Poland,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2015,89.5,
Males,Poland,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2013,87.8,
Males,Poland,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2014,89.5,b
Males,Poland,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2015,91.2,
Males,Poland,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2013,86.6,
Males,Poland,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2014,87.5,b
Males,Poland,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2015,89.6,
Males,Poland,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2013,83.8,
Males,Poland,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2014,83.5,b
Males,Poland,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2015,86.2,
Males,Poland,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2013,82.3,
Males,Poland,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2014,83.9,b
Males,Poland,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2015,85,
Males,Poland,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2013,81.7,
Males,Poland,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2014,83.9,b
Males,Poland,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2015,85.2,
Males,Poland,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2013,82.6,
Males,Poland,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2014,84.2,b
Males,Poland,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2015,84.1,
Males,Poland,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2013,84,
Males,Poland,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2014,83.5,b
Males,Poland,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2015,85.7,
Males,Portugal,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2013,70.7,
Males,Portugal,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2014,73.4,b
Males,Portugal,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2015,74.9,
Males,Portugal,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2013,81.9,
Males,Portugal,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2014,85.4,b
Males,Portugal,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2015,88.4,
Males,Portugal,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2013,81,
Males,Portugal,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2014,84,b
Males,Portugal,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2015,85.4,
Males,Portugal,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2013,75.9,
Males,Portugal,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2014,78.2,b
Males,Portugal,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2015,80.1,
Males,Portugal,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2013,62.8,
Males,Portugal,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2014,65.4,b
Males,Portugal,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2015,66.2,
Males,Portugal,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2013,:,
Males,Portugal,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Males,Portugal,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2015,:,
Males,Portugal,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Males,Portugal,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Males,Portugal,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Males,Portugal,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2013,:,
Males,Portugal,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2014,:,
Males,Portugal,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2015,:,
Males,Portugal,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2013,78,
Males,Portugal,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2014,79.8,b
Males,Portugal,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2015,82.2,
Males,Portugal,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2013,84.7,
Males,Portugal,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2014,85.6,b
Males,Portugal,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2015,88.1,
Males,Portugal,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2013,79,
Males,Portugal,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2014,82,b
Males,Portugal,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2015,83.2,
Males,Portugal,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2013,74,
Males,Portugal,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2014,75.8,b
Males,Portugal,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2015,78.7,
Males,Portugal,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2013,82.4,
Males,Portugal,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2014,86.5,b
Males,Portugal,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2015,87.9,
Males,Portugal,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2013,82.3,
Males,Portugal,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2014,87.3,b
Males,Portugal,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2015,90,
Males,Portugal,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2013,83.6,
Males,Portugal,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2014,86.3,b
Males,Portugal,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2015,87.9,
Males,Portugal,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2013,81.1,
Males,Portugal,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2014,85.7,b
Males,Portugal,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2015,85,
Males,Portugal,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2013,74.2,
Males,Portugal,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2014,80.2,b
Males,Portugal,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2015,83.5,
Males,Portugal,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2013,69.9,
Males,Portugal,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2014,77.4,b
Males,Portugal,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2015,82.8,
Males,Portugal,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2013,78.6,
Males,Portugal,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2014,83.7,b
Males,Portugal,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2015,84.2,
Males,Portugal,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2013,82.4,
Males,Portugal,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2014,83.8,b
Males,Portugal,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2015,84.4,
Males,Romania,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2013,74.8,
Males,Romania,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2014,75.7,b
Males,Romania,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2015,76,
Males,Romania,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2013,79,
Males,Romania,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2014,79.8,b
Males,Romania,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2015,82.9,
Males,Romania,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2013,82.4,
Males,Romania,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2014,83.2,b
Males,Romania,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2015,83.1,
Males,Romania,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2013,81.6,
Males,Romania,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2014,82.8,b
Males,Romania,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2015,82.9,
Males,Romania,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2013,68.6,
Males,Romania,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2014,69.6,b
Males,Romania,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2015,69.8,
Males,Romania,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2013,:,
Males,Romania,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Males,Romania,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2015,:,
Males,Romania,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Males,Romania,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Males,Romania,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Males,Romania,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2013,:,
Males,Romania,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2014,:,
Males,Romania,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2015,:,
Males,Romania,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2013,81.5,
Males,Romania,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2014,82.9,b
Males,Romania,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2015,82.5,
Males,Romania,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2013,80.6,
Males,Romania,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2014,81.8,b
Males,Romania,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2015,83.6,
Males,Romania,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2013,82.3,
Males,Romania,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2014,84.8,b
Males,Romania,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2015,82.5,
Males,Romania,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2013,81.5,
Males,Romania,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2014,82.5,b
Males,Romania,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2015,82,
Males,Romania,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2013,82.2,
Males,Romania,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2014,83.8,b
Males,Romania,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2015,85.5,
Males,Romania,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2013,80,
Males,Romania,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2014,82,b
Males,Romania,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2015,85.4,
Males,Romania,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2013,84,
Males,Romania,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2014,84.1,b
Males,Romania,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2015,85.7,
Males,Romania,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2013,82.4,
Males,Romania,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2014,85.3,b
Males,Romania,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2015,85.1,
Males,Romania,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2013,75.5,
